Title,Price,Size,Neighbourhood,City,Date_Posted,Rooms
"Parter Ogródek Garaż Mieszkanie we Wonieściu
250 000 zł",250000.0,52.15,,Wonieść,2025-04-20,
"Mieszkanie idealne dla wędkarza. Psarskie
158 900 zł",158900.0,67.8,,Psarskie,2025-04-22,
"Mieszkanie po remoncie z widokiem na jezioro
250 000 zł",250000.0,42.0,,Konin,2025-05-09,
"Sprzedam mieszkanie 2 pokoje 38,29 m w Centrum Konina
229 000 zł",229000.0,38.29,,Konin,2025-05-06,2
"OKAZJA! Przestronne 2-pok | 51,65 m2 | Przy UAM
185 000 zł",185000.0,51.65,,Kalisz,2025-04-21,2
"2 pok mieszkanie Parter własne ogrzewanie gazowe
230 000 zł",230000.0,60.26,,Kościan,2025-04-20,2
"Mieszkanie kawalerka z antresolą, parter do wprowadzenia.
225 000 zł",225000.0,26.41,,Kalisz,2025-05-09,1
"Sprzedam kawalerkę po remoncie, 1 piętro
158 000 zł",158000.0,29.41,,Kazimierz Biskupi,2025-05-05,
"Mieszkanie - Dom wielorodzinny - Huta Szklana gm. Krzyż Wielkopolski
224 999 zł
do negocjacji",224999.0,97.0,,Huta Szklana,2025-05-11,
"Sprzedam mieszkanie TBS
180 000 zł",180000.0,46.62,,Kalisz,2025-05-11,
"Mieszkanie 2-pokojowe na oś. Przemysława II
190 000 zł",190000.0,33.0,,Rogoźno,,2
"Przytulne mieszkanie w Koninie - Okazja!
227 900 zł",227900.0,30.0,,Konin,2025-04-28,
"2 pokoje, centrum Piły, Dobra Cena !!!
205 000 zł",205000.0,37.4,,Piła,2025-04-25,2
"Mieszkanie kawalerka, parter, po remoncie.
199 000 zł",199000.0,21.15,,Kalisz,2025-05-09,1
"2 pokojowe mieszkanie w Centrum do remontu
215 000 zł",215000.0,42.55,,Kalisz,2025-05-09,2
"Wyremontowane mieszkanie
238 000 zł",238000.0,25.0,,Kalisz,2025-05-06,
"Rozkładowe mieszkanie 2-pok. TBS, Dobrzec
189 000 zł",189000.0,52.0,,Kalisz,2025-04-25,2
"Piękne mieszkanie, 2 pokoje po generalnym remoncie
190 000 zł",190000.0,53.4,,Lubstów,2025-04-12,2
"Bez Pcc!
229 000 zł",229000.0,25.4,,Gwiazdowo,2025-05-05,
"Mieszkanie za 160 000 zł! | Kleszczewo Kościerskie
160 000 zł",160000.0,37.8,,Poznań,2025-04-25,
"2-pokojowe mieszkanie ul. Mikołaja Kopernika
248 000 zł",248000.0,34.51,,Ostrów Wielkopolski,2025-04-23,2
"Mieszkanie 65 mkw bez bik i krd !
150 000 zł",150000.0,65.0,,Śmigiel,2025-05-06,
"Mieszkanie na sprzedaż ! 48 mkw
200 000 zł",200000.0,48.0,,Śmigiel,2025-04-14,
"Nowe bezczynszowe gotowe do sprzedaży -marzec 2026
243 508 zł",243508.0,35.81,,Jarocin,2025-04-24,
"Kawalerka po remoncie w bloku z Windą!
239 000 zł",239000.0,27.5,,Września,2025-04-12,1
"Jasne, 2-pokojowe mieszkanie z pięknym widokiem
239 000 zł",239000.0,42.0,,Kalisz,2025-04-23,2
"Nowe Pobiedziska 2 | mieszkanie 1-pok. | M1_23
227 367 zł",227367.0,28.07,,Pobiedziska,2025-05-04,1
"Na sprzedaż mieszkanie w doskonałej lokalizacji
150 000 zł",150000.0,28.85,,Turek,2025-04-22,
"Przemysłowa 16 w niskim bloku V osiedle balkon gotowe do zamieszkania
195 000 zł",195000.0,34.13,,Konin,,
"2-pok. mieszkanie po generalnym remoncie ul.Żwirki
250 000 zł",250000.0,28.9,,Ostrów Wielkopolski,2025-04-23,2
"Na sprzedaż mieszkanie 2-pokojowe, Piła
165 000 zł",165000.0,45.8,,Piła,2025-05-05,2
"Mieszkanie 32m2, dwa pokoje, winda
215 000 zł",215000.0,32.24,,Konin,2025-04-12,
"Bezczynszowe mieszkanie, pow. 75,6 m2, Niemierzyce
235 000 zł",235000.0,75.6,,Niemierzyce,2025-04-28,
"NOWOCZESNE inspirowane LOFTEM mieszkanie!!!
210 000 zł",210000.0,29.97,,Chodzież,2025-05-04,
"Sprzedam kawalerkę
170 000 zł",170000.0,28.5,,Wągrowiec,2025-04-26,
"Sprzedam mieszkanie
199 000 zł",199000.0,36.0,,Pleszew,,
"Piekne przestronne mieszkanie
250 000 zł
do negocjacji",250000.0,52.0,,Janiszewo,2025-05-11,
"Sprzedam mieszkanie 32,5m
175 000 zł
do negocjacji",175000.0,32.5,,Konin,2025-05-11,
"Mieszkanie z działką i garażem – Szelejewo Drugie
209 000 zł",209000.0,52.5,,Szelejewo Drugie,2025-05-08,
"Przestronna kawalerka w Pile na sprzedaż
189 000 zł",189000.0,27.19,,Piła,2025-05-09,1
"GOTOWE do zamieszkania | 44,6m2 | Kominek | Balkon | Garderoba
179 000 zł",179000.0,44.68,,Kalisz,2025-05-05,
"Kawlerka z balkonem
220 000 zł",220000.0,28.0,,Gniezno,2025-05-05,
